Name,DateTime,AnimalType,AgeuponOutcome,Breed,Color,neutered/spayed,adopted
Hambone,2/12/2014 18:22:00,Dog,1 year,Shetland Sheepdog Mix,Brown/White,1,0
Emily,10/13/2013 12:44:00,Cat,1 year,Domestic Shorthair Mix,Cream Tabby,1,0
Pearce,1/31/2015 12:28:00,Dog,2 years,Pit Bull Mix,Blue/White,1,1
,7/11/2014 19:09:00,Cat,3 weeks,Domestic Shorthair Mix,Blue Cream,0,0
,11/15/2013 12:52:00,Dog,2 years,Lhasa Apso/Miniature Poodle,Tan,1,0
Elsa,4/25/2014 13:04:00,Dog,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan,0,0
Jimmy,3/28/2015 13:11:00,Cat,3 weeks,Domestic Shorthair Mix,Blue Tabby,0,0
,4/30/2015 17:02:00,Cat,3 weeks,Domestic Shorthair Mix,Brown Tabby,0,0
Lucy,2/4/2014 17:17:00,Dog,5 months,American Pit Bull Terrier Mix,Red/White,1,1
,5/3/2014 7:48:00,Dog,1 year,Cairn Terrier,White,1,1
,12/5/2013 15:50:00,Cat,2 years,Domestic Shorthair Mix,Black,0,0
,11/4/2013 14:48:00,Dog,2 years,Miniature Schnauzer Mix,Silver,1,1
Rocket,2/3/2016 11:27:00,Dog,4 years,Pit Bull Mix,Brown,1,1
Scooter,6/8/2015 16:30:00,Dog,2 years,Yorkshire Terrier Mix,Black/Red,1,0
Preston,11/25/2015 15:00:00,Dog,1 year,Great Pyrenees Mix,White/Cream,1,0
Oliver,7/12/2014 12:10:00,Cat,3 months,Domestic Shorthair Mix,Orange Tabby/White,1,1
,5/3/2014 16:15:00,Cat,3 weeks,Domestic Shorthair Mix,Brown Tabby,0,0
,6/7/2014 12:54:00,Dog,2 weeks,Pit Bull Mix,Brown/White,0,0
Chrissy,5/17/2014 11:32:00,Cat,2 years,Angora Mix,White,0,0
Kuma,7/30/2014 17:34:00,Dog,1 year,Flat Coat Retriever Mix,Black,1,0
Anders,1/19/2014 15:03:00,Dog,2 months,Queensland Heeler Mix,Black/White,0,0
Munchkin,9/18/2015 15:19:00,Cat,1 year,Domestic Shorthair Mix,White,1,0
Jamaica,8/15/2015 14:22:00,Dog,2 years,Plott Hound/Boxer,Brown Brindle/White,1,1
Quattro,10/28/2013 16:32:00,Dog,10 months,German Shepherd Mix,Brown/White,1,1
Trigger,4/9/2014 17:44:00,Dog,2 months,German Shepherd Mix,Black/Brown,1,0
Olive,10/3/2015 15:44:00,Cat,1 month,Domestic Shorthair Mix,Orange Tabby,0,0
Nia,1/15/2016 17:31:00,Dog,6 months,American Staffordshire Terrier Mix,Chocolate/White,1,1
Chloe,3/25/2015 18:50:00,Dog,5 years,Chihuahua Shorthair Mix,White/Tan,1,1
Cymbale,11/21/2015 13:01:00,Cat,2 months,Domestic Shorthair Mix,Cream Tabby/White,1,1
Jax,7/30/2015 14:30:00,Cat,7 years,Russian Blue Mix,Blue,1,0
,1/1/2016 13:57:00,Cat,3 years,Domestic Shorthair Mix,Calico,1,0
Murphy,7/15/2015 15:25:00,Dog,4 months,Labrador Retriever Mix,Black/White,0,0
,7/3/2014 17:01:00,Cat,2 months,Domestic Shorthair Mix,Torbie,1,1
Jesse,11/8/2013 13:24:00,Dog,5 years,Collie Smooth/German Shepherd,Brown/Black,1,0
Delgado,4/11/2015 16:01:00,Dog,3 years,Chihuahua Shorthair Mix,Brown,1,0
,12/6/2013 14:55:00,Dog,3 years,Labrador Retriever Mix,Yellow,0,0
Pony Boy,10/24/2013 11:22:00,Dog,3 years,Pit Bull Mix,Brown/White,1,0
,7/2/2014 13:37:00,Cat,2 months,Domestic Shorthair Mix,Blue/White,0,0
Mica,8/11/2015 0:00:00,Cat,4 months,Domestic Shorthair Mix,Black/White,1,0
,7/14/2015 12:16:00,Cat,3 weeks,Domestic Shorthair Mix,Brown Tabby,0,0
Pilar,4/4/2015 17:26:00,Cat,7 years,Domestic Shorthair Mix,Blue Tabby,1,1
,6/23/2015 13:25:00,Cat,2 months,Domestic Shorthair Mix,Orange Tabby,0,0
Lucy,12/9/2013 15:04:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,0,0
,1/21/2014 15:15:00,Cat,4 years,Domestic Longhair Mix,Black/White,0,0
Ali,5/28/2014 15:52:00,Cat,2 years,Domestic Shorthair Mix,Black/White,1,1
Chester,8/27/2014 7:50:00,Dog,12 years,Beagle,Tricolor,1,0
Daisy,8/5/2014 11:15:00,Cat,9 years,Domestic Shorthair Mix,White/Black,1,0
,5/5/2015 11:46:00,Cat,3 weeks,Domestic Shorthair Mix,Black,0,0
Edith,3/9/2015 17:57:00,Dog,5 months,German Shepherd Mix,Black/Brown,1,1
,10/30/2013 15:37:00,Dog,6 years,Pit Bull/Labrador Retriever,Chocolate/White,0,0
,7/28/2014 9:00:00,Cat,1 year,Domestic Shorthair Mix,Tortie,0,0
Caty,10/19/2015 18:58:00,Cat,3 months,Domestic Shorthair Mix,Brown Tabby,1,1
,6/26/2014 17:16:00,Cat,3 weeks,Domestic Shorthair Mix,Blue Tabby/White,0,0
Gabe,5/14/2015 12:07:00,Dog,2 years,Blue Lacy Mix,Gray/White,1,1
Beth,11/18/2014 16:05:00,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,1,1
,10/4/2015 15:02:00,Cat,1 weeks,Domestic Shorthair Mix,Black,0,0
Bashful,8/16/2015 13:52:00,Cat,2 months,Domestic Shorthair Mix,Calico,1,1
,7/18/2014 16:23:00,Dog,1 year,Chihuahua Shorthair Mix,Tan,0,0
Lola,9/16/2014 14:05:00,Dog,4 years,Black Mouth Cur Mix,Tan/Black,1,0
Sugar,7/7/2014 12:38:00,Dog,2 years,Dachshund/Beagle,Brown/White,1,1
Orangejello,8/19/2015 13:32:00,Cat,1 year,Domestic Shorthair Mix,Orange Tabby/White,0,0
Prec Punkin',5/9/2014 18:07:00,Dog,11 years,Yorkshire Terrier Mix,Brown/Black,1,0
Wilma,10/6/2015 15:07:00,Cat,1 month,Domestic Shorthair Mix,Black,0,0
Bella,9/23/2015 11:45:00,Dog,2 years,Dachshund Mix,Tan/White,1,1
,7/17/2014 17:31:00,Cat,2 weeks,Domestic Shorthair Mix,Black,0,0
Chiquita,10/27/2015 18:32:00,Dog,6 years,Maltese Mix,White,1,0
Hero,12/8/2014 15:53:00,Dog,6 months,Pointer Mix,Black/White,1,0
Molly,9/8/2015 15:31:00,Dog,2 months,English Foxhound,Buff,0,0
,6/16/2015 9:00:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby/White,0,0
Bella,5/10/2014 18:18:00,Dog,1 year,Chihuahua Shorthair Mix,Red,1,1
Chili,4/30/2014 17:55:00,Dog,2 months,Vizsla Mix,Brown,1,1
Hastings,1/29/2016 14:53:00,Dog,2 years,Pit Bull Mix,Brown Brindle/White,1,0
,3/25/2014 18:15:00,Dog,3 years,German Shepherd/Great Pyrenees,White,1,1
Tootsie,8/18/2015 11:32:00,Cat,1 year,Domestic Shorthair Mix,Black,0,0
Snookie,12/28/2013 16:17:00,Dog,4 years,Yorkshire Terrier Mix,Blue/Tan,1,0
Abby,8/19/2015 14:28:00,Dog,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan,1,0
Nym,6/22/2014 17:22:00,Cat,3 months,Domestic Longhair,Brown Tabby,1,1
,3/21/2014 17:09:00,Cat,1 year,Domestic Shorthair Mix,Calico,0,0
Zeus,6/7/2015 16:07:00,Dog,2 months,Chow Chow/Pit Bull,Black,1,1
,12/20/2015 19:38:00,Cat,2 years,Domestic Shorthair Mix,Black/White,1,0
Charlie,12/17/2015 12:10:00,Dog,1 year,Chihuahua Shorthair,White,1,1
,9/22/2015 12:10:00,Cat,2 weeks,Domestic Shorthair Mix,Blue Tabby,0,0
Taco,5/30/2015 18:56:00,Cat,4 weeks,Siamese Mix,Seal Point,0,0
,10/12/2015 9:00:00,Cat,2 years,Domestic Shorthair Mix,Blue Tabby,0,0
Avaddon,2/9/2015 17:17:00,Dog,12 years,Pit Bull Mix,Brown Brindle,1,0
,9/14/2014 18:51:00,Dog,1 year,Dachshund/Beagle,Brown/White,1,1
Arthur,7/18/2015 15:37:00,Cat,2 months,Domestic Shorthair Mix,Black,1,1
,7/14/2015 15:04:00,Cat,2 weeks,Domestic Shorthair Mix,Black,0,0
,4/26/2014 18:00:00,Dog,3 months,Labrador Retriever Mix,Black/White,0,0
,11/18/2013 15:56:00,Cat,3 months,Domestic Medium Hair Mix,Calico,1,1
Freeway,12/15/2015 14:16:00,Dog,5 months,Plott Hound Mix,Brown Brindle/White,1,1
Chloe,2/7/2016 14:54:00,Dog,3 years,Boxer/Great Dane,Black,1,1
Georgia,4/10/2014 11:49:00,Dog,7 years,Lhasa Apso,White/Black,1,0
Hero,2/6/2015 18:56:00,Dog,2 years,German Shepherd Mix,Black/Tan,1,0
Thelma,12/29/2014 15:11:00,Cat,4 months,Domestic Shorthair Mix,Black,1,1
Darcy,11/15/2015 14:06:00,Dog,9 years,Beagle/Treeing Walker Coonhound,White/Brown,1,1
Taz,12/6/2015 15:12:00,Dog,7 months,Border Collie Mix,Black/White,1,0
,7/14/2014 19:28:00,Cat,2 months,Domestic Shorthair Mix,Black/White,1,1
,10/24/2014 9:00:00,Cat,3 years,Domestic Shorthair Mix,Black/White,0,0
,1/14/2015 16:18:00,Dog,3 years,Border Terrier Mix,Gray,1,1
Poppy,5/29/2014 17:43:00,Dog,5 years,Chihuahua Shorthair Mix,Tan/White,1,1
Dexter,1/28/2016 12:05:00,Dog,5 years,Boxer Mix,Brown Brindle/White,1,0
,10/16/2013 11:50:00,Cat,2 weeks,Domestic Medium Hair Mix,Blue,0,0
,7/26/2015 14:40:00,Cat,2 weeks,Domestic Shorthair Mix,Black,0,0
Matty,1/30/2014 14:41:00,Cat,4 years,Domestic Shorthair Mix,Torbie,1,0
Chubbs,4/8/2015 18:06:00,Dog,4 years,Cairn Terrier Mix,Tan/White,1,0
Lilly,7/19/2015 18:27:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,1,1
Minnie,12/20/2013 12:02:00,Dog,2 years,Chihuahua Shorthair Mix,Black/Tan,1,0
Santiago,3/23/2014 18:43:00,Dog,2 years,Dogo Argentino Mix,White,1,1
Franklin,3/29/2014 11:26:00,Dog,9 years,Dachshund Mix,Black/Brown,1,0
Myles,2/11/2014 18:16:00,Dog,5 years,Beagle Mix,Tricolor,1,0
Wiz,12/6/2013 16:53:00,Dog,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White,1,0
Abby,10/20/2013 16:37:00,Dog,2 years,Pit Bull Mix,Fawn/White,1,1
,5/6/2014 15:59:00,Cat,3 weeks,Domestic Shorthair Mix,Brown Tabby,0,0
Boss,7/6/2015 15:48:00,Dog,5 months,Pit Bull Mix,White/Brown,0,0
,1/26/2015 16:23:00,Cat,6 years,Domestic Shorthair Mix,Orange Tabby,0,0
Missy,3/22/2014 15:38:00,Dog,1 year,Chihuahua Shorthair Mix,Tan,1,1
Basil,11/5/2015 0:00:00,Dog,3 months,Chihuahua Shorthair Mix,Black/White,0,0
Katydid,10/24/2015 18:29:00,Cat,1 month,Domestic Longhair Mix,Calico,0,0
Kiki,5/3/2015 16:59:00,Dog,3 years,Chihuahua Shorthair Mix,Brown,1,0
Desmo,4/14/2014 17:00:00,Dog,5 years,Dachshund Mix,Black,1,0
Pablo,5/26/2014 11:22:00,Dog,8 years,Miniature Schnauzer/Miniature Poodle,Black,1,1
,9/21/2014 14:15:00,Dog,2 months,Labrador Retriever Mix,Black/White,1,1
,11/14/2014 11:57:00,Cat,7 years,Domestic Shorthair Mix,Tortie,0,0
Pandora,10/3/2014 18:43:00,Cat,2 months,Domestic Shorthair Mix,Black,0,1
Jackson,9/11/2014 17:03:00,Dog,5 years,Pit Bull,Black,1,1
Watson,1/31/2016 17:22:00,Dog,1 year,Pit Bull Mix,White/Brown,1,1
,8/24/2014 9:00:00,Cat,3 months,Domestic Shorthair Mix,Brown Tabby,0,0
Levon,3/22/2015 18:40:00,Dog,2 years,Chihuahua Shorthair Mix,Brown/White,1,0
Snickerdoodl,1/25/2015 11:15:00,Dog,9 years,Labrador Retriever Mix,Chocolate/White,1,0
Lola,10/22/2015 17:18:00,Dog,3 years,Pit Bull Mix,Red/White,1,1
Jumbly,10/26/2015 18:39:00,Cat,3 years,Domestic Shorthair Mix,Calico,1,0
Pearl,1/15/2016 14:03:00,Dog,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White,1,1
Pebbles,1/9/2015 15:28:00,Dog,2 years,Chihuahua Shorthair Mix,Black/Tan,1,0
Minnie,12/15/2015 17:30:00,Dog,1 year,Pit Bull,Brown Brindle,1,0
Merlin,6/10/2014 16:41:00,Cat,2 years,Siamese Mix,Flame Point,1,0
Parsley,5/16/2015 15:19:00,Dog,2 years,Tibetan Terrier Mix,Brown,1,0
,6/18/2014 9:00:00,Cat,2 years,Domestic Shorthair Mix,Blue/White,0,0
,10/20/2015 9:00:00,Cat,3 months,Domestic Shorthair Mix,Tortie,0,0
Abby,11/23/2014 18:55:00,Dog,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor,1,1
,8/5/2014 13:20:00,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,1,1
,2/16/2014 19:38:00,Cat,10 months,Domestic Medium Hair Mix,Cream Tabby,1,1
Ricky,2/9/2016 16:31:00,Cat,2 years,Domestic Medium Hair Mix,Brown Tabby/White,1,0
Tom,6/28/2015 15:33:00,Cat,2 months,Domestic Medium Hair Mix,Calico,1,1
Amarillo,11/1/2015 19:11:00,Dog,6 months,Labrador Retriever Mix,Yellow,1,1
Nala,11/7/2015 19:14:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,1,1
,9/26/2014 18:09:00,Dog,1 year,Dachshund Mix,Tan,1,1
Winnie,10/22/2014 14:37:00,Dog,6 months,Dachshund Mix,Brown/White,0,0
Luna,6/1/2014 17:48:00,Cat,1 year,Domestic Shorthair Mix,Black/White,1,1
,9/12/2014 18:38:00,Cat,3 weeks,Domestic Shorthair Mix,Calico,0,0
Tokyo,2/19/2016 14:58:00,Cat,2 years,Domestic Shorthair Mix,Brown Tabby,1,1
Diamond,11/14/2015 13:30:00,Dog,11 months,Blue Lacy Mix,Blue/White,1,1
,3/3/2014 16:58:00,Dog,3 months,Rat Terrier Mix,Tricolor,1,0
Minnie,2/10/2014 12:34:00,Dog,2 years,Dachshund Longhair,Brown,1,0
Neville,9/27/2014 12:25:00,Dog,2 years,Pit Bull Mix,Red,1,0
Conrad,8/15/2015 11:32:00,Dog,2 years,Pit Bull Mix,Brown/White,1,1
Shiva,7/3/2014 18:45:00,Cat,4 months,Domestic Longhair,Calico,1,1
,8/11/2014 15:17:00,Dog,4 months,Dachshund/Chihuahua Shorthair,Red,0,0
,9/15/2014 9:00:00,Cat,5 months,Domestic Shorthair Mix,Torbie,0,0
Jupiter,12/16/2015 11:28:00,Cat,2 months,Domestic Shorthair Mix,Black Tabby/White,1,1
Nero,7/29/2015 15:41:00,Dog,7 years,Chihuahua Shorthair Mix,Brown/White,1,0
Oscar,1/23/2016 16:05:00,Cat,4 years,Domestic Shorthair Mix,Black/White,1,1
,9/10/2015 11:35:00,Cat,3 weeks,Domestic Shorthair Mix,Tortie/Calico,0,0
Dasher,12/6/2015 17:08:00,Dog,6 months,Border Collie Mix,Black/White,1,1
Libby,8/8/2015 17:58:00,Dog,5 months,Labrador Retriever Mix,Black/White,0,1
Gracie,1/13/2016 11:43:00,Dog,8 years,Maltese,White,1,0
,7/19/2015 17:26:00,Cat,2 months,Domestic Shorthair Mix,Black,1,1
Sugar,7/6/2015 18:05:00,Cat,1 month,Domestic Shorthair Mix,Blue Tabby/White,1,1
,2/15/2016 18:30:00,Dog,5 months,Labrador Retriever Mix,White,1,0
Jethro,5/31/2014 13:58:00,Cat,1 month,Domestic Shorthair Mix,Brown Tabby,0,0
,10/23/2014 9:00:00,Cat,4 months,Domestic Shorthair Mix,Blue Tabby,0,0
Keyla,8/1/2015 11:54:00,Dog,1 year,Chihuahua Shorthair Mix,White/Tan,1,1
Samson,8/10/2014 16:25:00,Dog,2 years,Labrador Retriever/Rottweiler,Black/Brown,1,1
August,11/4/2013 15:50:00,Cat,11 years,Domestic Shorthair Mix,Tortie,1,0
,6/25/2015 9:31:00,Dog,2 months,Dachshund/Manchester Terrier,Tricolor,1,1
Herb,9/1/2015 0:00:00,Cat,2 months,Domestic Shorthair Mix,White/Black,1,0
Stripey,10/29/2015 18:44:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,0,1
Sallie,4/20/2015 14:41:00,Dog,1 month,Plott Hound/Labrador Retriever,Black/Brown Brindle,1,1
Klo Dog,5/25/2015 11:26:00,Dog,7 years,Chihuahua Shorthair/Rat Terrier,White/Tan,1,0
,5/21/2014 13:47:00,Cat,4 days,Domestic Shorthair Mix,Cream Tabby/White,0,0
Milo,11/9/2015 13:24:00,Dog,4 years,Siberian Husky,White/Gray,1,0
Scarlet,12/22/2015 0:00:00,Dog,2 years,Australian Cattle Dog Mix,Tan/White,1,0
Pebbles,11/14/2015 13:26:00,Dog,1 year,Pointer Mix,White/Black,1,0
Cairo,12/9/2015 17:05:00,Dog,2 years,Pit Bull Mix,Brown Brindle/White,1,0
,9/3/2014 18:51:00,Cat,4 weeks,Domestic Medium Hair Mix,Brown Tabby,0,0
Calypso,11/13/2015 11:53:00,Cat,1 year,Domestic Shorthair Mix,Black/White,0,0
Luna,5/12/2015 17:39:00,Dog,2 years,Yorkshire Terrier/Miniature Poodle,Tan/Silver,1,1
,10/3/2013 12:27:00,Cat,10 months,Domestic Shorthair Mix,Orange Tabby,0,0
Diva,3/7/2015 12:50:00,Dog,4 years,German Shepherd Mix,White,1,0
Olivia,7/16/2014 17:48:00,Cat,4 months,Domestic Shorthair Mix,Brown Tabby/White,1,1
Ashley,5/13/2015 11:51:00,Dog,6 years,Catahoula/Labrador Retriever,White/Tan,1,0
,5/15/2015 17:47:00,Dog,9 months,Miniature Poodle Mix,Black/White,1,1
Jaqueline,9/19/2015 14:33:00,Dog,3 years,Jack Russell Terrier/Pit Bull,Red,1,1
Tabitha,11/23/2014 12:43:00,Cat,8 months,Domestic Shorthair Mix,Torbie,1,1
Roxie,5/1/2014 16:12:00,Dog,10 months,Queensland Heeler/Shetland Sheepdog,Red Tick/Black,1,1
,9/1/2015 0:00:00,Cat,1 year,Domestic Shorthair Mix,White/Cream Tabby,1,0
Harper,10/27/2015 16:44:00,Dog,1 year,Catahoula Mix,Blue Merle,1,1
Hanley,7/3/2015 18:50:00,Dog,1 year,Labrador Retriever Mix,Black/White,1,1
Boomer,7/24/2014 15:02:00,Dog,3 months,Labrador Retriever Mix,Yellow,1,1
Brownie,11/19/2013 18:30:00,Dog,6 years,Chihuahua Shorthair Mix,Chocolate/Tan,0,0
,1/21/2014 15:20:00,Cat,1 year,Domestic Longhair Mix,Black,0,0
Swisha,4/10/2014 10:13:00,Dog,2 years,American Pit Bull Terrier Mix,Tan/White,1,0
,11/30/2013 18:48:00,Dog,5 years,Dachshund Longhair Mix,Tan/White,1,1
,5/10/2015 17:16:00,Cat,12 years,Domestic Longhair Mix,Orange Tabby/White,1,0
Dutchess,4/8/2014 12:50:00,Dog,2 years,German Shepherd Mix,Sable,1,1
Buddy,10/18/2014 18:48:00,Dog,6 years,Labrador Retriever Mix,Black/White,1,1
Meowser,6/27/2015 18:24:00,Cat,3 months,Domestic Shorthair Mix,Black,1,1
Cassie,2/1/2014 11:13:00,Dog,8 months,Doberman Pinsch Mix,Tricolor,1,0
Teddy,12/27/2013 15:49:00,Cat,1 year,Domestic Shorthair Mix,Black,1,0
Isis,10/31/2015 15:18:00,Cat,15 years,Domestic Shorthair Mix,Black,0,0
,10/22/2014 17:46:00,Dog,3 weeks,Pointer Mix,Chocolate/White,0,0
Dali,11/13/2014 16:07:00,Dog,5 months,Dachshund/Jack Russell Terrier,White/Brown,1,1
,5/14/2014 19:15:00,Dog,2 years,Miniature Poodle/Miniature Schnauzer,Black/White,1,1
Bella,12/30/2014 9:38:00,Dog,2 years,Whippet Mix,Brown Brindle/White,1,1
Dino,11/27/2015 14:06:00,Dog,2 years,Australian Shepherd Mix,Brown Merle/White,0,0
,1/11/2016 14:23:00,Dog,2 years,Labrador Retriever Mix,Tan/White,1,1
,9/12/2014 18:38:00,Cat,3 weeks,Domestic Shorthair Mix,Calico,0,0
Emma,5/28/2015 13:14:00,Dog,1 year,Pit Bull Mix,Brown Tiger/White,1,0
,3/21/2015 9:00:00,Cat,2 years,Domestic Shorthair Mix,Brown Tabby/White,0,0
Jackson,10/30/2013 15:14:00,Cat,4 weeks,Domestic Shorthair Mix,Brown Tabby,0,0
Marco,4/8/2014 15:29:00,Dog,4 years,Chihuahua Shorthair Mix,White/Brown,1,0
,6/24/2014 19:15:00,Cat,3 weeks,Domestic Shorthair Mix,Brown Tabby,0,0
Byron,5/27/2014 8:21:00,Cat,2 months,Domestic Shorthair Mix,Black,0,1
Oreo,2/2/2016 15:58:00,Dog,1 year,Rat Terrier Mix,White/Black,1,0
Pia,5/30/2014 16:54:00,Dog,2 months,English Pointer Mix,Brown/White,1,1
Bleu,11/4/2013 17:51:00,Dog,1 year,Miniature Schnauzer/Yorkshire Terrier,Black/White,1,1
,7/15/2014 17:26:00,Dog,3 years,Cairn Terrier Mix,Buff,1,1
Midnight,1/20/2014 18:40:00,Dog,9 years,Labrador Retriever/Pit Bull,Black,1,0
Julia,9/7/2015 15:05:00,Cat,2 years,Domestic Shorthair Mix,White/Black,1,0
,12/2/2013 14:10:00,Dog,5 years,Great Dane,Black/White,1,0
Rello,11/29/2015 18:11:00,Dog,2 years,Chihuahua Shorthair Mix,Black/White,0,0
Bode,5/1/2015 11:04:00,Dog,2 years,Chesa Bay Retr,Brown,1,0
Jake,11/3/2015 16:40:00,Dog,7 years,German Shepherd,Brown/Black,1,0
,7/28/2014 9:00:00,Cat,1 year,Domestic Shorthair Mix,Brown Tabby/White,0,0
Rebecca,11/21/2015 15:21:00,Cat,6 years,Domestic Shorthair Mix,Black/White,1,1
Buddy,7/12/2014 20:04:00,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,1,1
Anita,5/10/2015 18:38:00,Dog,1 year,Chihuahua Shorthair Mix,Tan/Black,1,0
,11/14/2013 17:14:00,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,1,1
Daisy,11/8/2014 14:41:00,Dog,6 years,Plott Hound Mix,Brown Brindle,1,0
,5/26/2015 16:02:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby/White,0,0
Kiki,6/24/2015 15:25:00,Dog,2 years,Chihuahua Shorthair Mix,Brown/Black,1,1
Jerrid,8/19/2014 18:25:00,Cat,7 years,Siamese Mix,Flame Point,1,1
Vidalia,12/6/2015 12:41:00,Cat,3 months,Domestic Shorthair Mix,Brown Tabby/White,1,1
Simba,11/19/2015 18:45:00,Dog,3 years,Chow Chow Mix,Red,1,1
,4/22/2014 15:35:00,Cat,2 years,Domestic Shorthair Mix,Black,0,0
,12/1/2013 17:58:00,Dog,7 years,English Pointer,Liver/White,1,1
,5/24/2015 17:25:00,Cat,1 month,Domestic Shorthair Mix,White/Blue Tabby,0,0
June,11/9/2013 19:21:00,Dog,2 years,Pit Bull Mix,Brown/White,1,0
Earlene,8/5/2015 0:00:00,Dog,5 months,Boxer Mix,Black/White,0,0
