Name,DateTime,AnimalType,AgeuponOutcome,Breed,Color,neutered/spayed,adopted
Vader,6/2/2015 11:56:00,Dog,4 years,Basset Hound/Labrador Retriever,Black/White,1,0
Brownie,3/6/2014 17:13:00,Dog,2 years,Labrador Retriever Mix,Buff,1,0
Little Missy,2/7/2016 0:00:00,Dog,7 years,Airedale Terrier Mix,Tricolor,1,0
Buddy,7/6/2014 12:46:00,Dog,1 year,Labrador Retriever/Chow Chow,Brown,1,1
,12/11/2013 12:49:00,Cat,1 month,Domestic Shorthair Mix,Orange Tabby/White,1,0
Kodiak,1/31/2015 13:33:00,Dog,1 month,Beagle/German Shepherd,Black/Brown,1,1
Bosco,9/20/2015 14:50:00,Cat,2 months,Manx Mix,White/Black,1,1
,10/6/2015 9:00:00,Cat,3 years,Domestic Shorthair Mix,Blue,0,0
Daisy,7/16/2014 13:48:00,Dog,4 years,Chihuahua Shorthair/Rat Terrier,Tan/White,1,0
Priscilla,10/19/2013 12:58:00,Dog,1 year,Pit Bull Mix,Black/White,1,1
Stella,8/2/2015 18:49:00,Dog,2 years,Flat Coat Retriever Mix,Black/White,1,1
Dharma,5/28/2015 15:25:00,Dog,10 years,Cocker Spaniel,Buff,1,0
Taco,10/18/2014 16:55:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,1,1
Pebbles,4/11/2015 18:01:00,Dog,10 years,Chihuahua Shorthair Mix,Tan,1,1
Arwen,7/19/2015 14:37:00,Cat,2 years,Domestic Longhair Mix,Brown Tabby/White,1,1
Rainey,7/21/2014 11:09:00,Dog,7 years,Rat Terrier Mix,White/Black,1,0
,8/25/2014 17:12:00,Dog,1 year,Border Terrier/Chihuahua Shorthair,Tan/Black,1,1
Tank,9/17/2015 13:48:00,Dog,5 years,Pit Bull Mix,Brown Brindle/White,1,0
Kiki,3/23/2015 17:50:00,Dog,6 years,Chihuahua Shorthair Mix,Black/Gray,1,0
,8/22/2015 15:44:00,Cat,1 week,Domestic Shorthair Mix,Brown Tabby,0,0
,7/17/2014 18:06:00,Dog,7 years,Pit Bull Mix,Tan/White,1,0
Kato,10/2/2013 17:43:00,Dog,1 year,Chihuahua Longhair Mix,Black,1,1
Jasper,7/10/2014 12:48:00,Dog,1 year,Jack Russell Terrier/Dachshund,White/Brown,1,1
,5/3/2015 17:24:00,Cat,2 weeks,Domestic Shorthair Mix,Orange Tabby,0,0
,12/24/2013 15:03:00,Cat,1 year,Domestic Shorthair Mix,Orange Tabby,0,0
Roger,12/3/2014 14:24:00,Dog,5 years,German Shepherd,Black/Brown,1,0
Roxi,8/11/2014 11:12:00,Dog,2 years,Rottweiler Mix,Black/Tan,1,0
Hedwig,3/18/2014 17:04:00,Dog,10 months,Siberian Husky Mix,White/Cream,1,1
,5/25/2015 14:15:00,Cat,3 months,Domestic Shorthair Mix,Black,0,0
Apollo,2/14/2014 18:59:00,Dog,9 months,Cardigan Welsh Corgi/Cardigan Welsh Corgi,Fawn/White,1,1
,9/21/2015 15:57:00,Cat,1 month,Domestic Shorthair Mix,Black/White,0,0
,4/25/2014 15:17:00,Cat,0 years,Domestic Shorthair Mix,Blue,0,0
,11/10/2015 9:00:00,Cat,5 years,Domestic Shorthair Mix,Calico,1,0
,2/20/2016 21:16:00,Dog,8 months,Chihuahua Shorthair Mix,Chocolate/White,1,1
,4/30/2015 14:43:00,Dog,1 year,Cairn Terrier Mix,Cream,0,0
Ruth,10/14/2015 10:12:00,Cat,2 months,Domestic Shorthair Mix,Orange Tabby,1,1
Pumpkin,10/8/2013 17:23:00,Cat,3 months,Domestic Shorthair,Black/White,1,0
Coco,4/6/2015 15:37:00,Dog,14 years,Chihuahua Shorthair Mix,Chocolate/White,0,0
Sam,3/16/2014 10:48:00,Dog,7 years,Labrador Retriever Mix,Chocolate,1,0
Newton,1/10/2016 11:36:00,Dog,2 years,Shih Tzu,Gray/White,1,1
Lizzie,11/5/2015 0:00:00,Dog,6 months,Plott Hound Mix,Brown Brindle,1,0
Orion,1/13/2014 15:18:00,Dog,11 months,Australian Shepherd Mix,Tan/White,1,1
Chewy,2/5/2015 14:28:00,Dog,3 years,Chihuahua Shorthair Mix,Tan/White,1,1
Hailey,11/7/2014 13:36:00,Cat,2 months,Domestic Longhair Mix,Black/White,0,0
Jimmy,4/27/2014 15:11:00,Dog,1 year,Labrador Retriever/Border Collie,Black/White,1,1
,9/29/2014 18:28:00,Cat,4 weeks,Siamese Mix,Blue Point,0,0
Machete,3/28/2015 19:25:00,Dog,4 years,Chihuahua Shorthair Mix,White/Brown,1,0
Cheddar,11/27/2013 14:36:00,Cat,8 years,Domestic Medium Hair Mix,Orange Tabby,1,1
Amelia,10/16/2013 17:01:00,Cat,3 months,Domestic Shorthair Mix,Calico,1,1
Jelly Bean,11/9/2014 14:47:00,Dog,2 months,Australian Cattle Dog Mix,Brown/White,1,1
,8/15/2014 12:54:00,Cat,4 months,Domestic Shorthair Mix,Tortie,1,1
,3/21/2014 17:10:00,Dog,2 years,Labrador Retriever/Great Dane,Tan/Black,0,0
Rascal,7/17/2014 17:50:00,Dog,6 years,Dachshund Mix,Brown,1,0
Layla,8/2/2015 13:17:00,Dog,11 months,Boxer Mix,Brown Brindle/White,1,0
,10/8/2015 16:26:00,Dog,1 year,Labrador Retriever Mix,Tan/White,1,0
,11/23/2013 16:00:00,Dog,4 years,Shih Tzu/Miniature Poodle,Apricot/White,1,0
Mundy,9/13/2014 14:10:00,Cat,2 months,Domestic Medium Hair Mix,Blue/White,1,1
,11/23/2015 0:00:00,Dog,2 years,Pit Bull Mix,Red,1,0
,11/25/2013 17:07:00,Dog,2 months,Australian Cattle Dog Mix,Red Merle/Black,1,1
Barnaby,1/6/2015 18:37:00,Cat,6 months,Domestic Shorthair Mix,Black,1,1
Noah,8/16/2015 17:38:00,Cat,8 years,Domestic Shorthair Mix,Black/White,1,1
Jesse,2/13/2014 17:36:00,Cat,3 years,Domestic Shorthair Mix,Brown Tabby,1,0
Leo,8/10/2014 17:25:00,Dog,2 years,Chihuahua Shorthair Mix,Brown/White,1,1
,11/7/2014 17:15:00,Dog,2 months,Australian Cattle Dog Mix,White/Brown,0,0
,9/21/2014 13:21:00,Cat,3 weeks,Domestic Shorthair Mix,Tortie,0,0
Madison,6/5/2015 14:31:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,1,1
Sheldon,6/30/2015 7:01:00,Dog,4 years,German Shepherd Mix,Brown,1,1
Chris,12/16/2013 14:57:00,Cat,5 years,Domestic Shorthair Mix,Brown Tabby/White,1,0
Jillian,11/22/2015 13:47:00,Dog,2 years,Pointer Mix,Chocolate/White,1,1
,10/3/2013 15:33:00,Cat,6 months,Domestic Medium Hair Mix,Calico,0,0
,5/9/2014 19:30:00,Dog,2 years,Miniature Poodle Mix,Black/Gray,1,0
Lizzie,9/1/2014 10:39:00,Dog,10 years,Collie Smooth/Chow Chow,Sable,1,0
,12/12/2014 9:00:00,Cat,6 months,Domestic Shorthair Mix,Black/White,0,0
Socks,4/1/2014 12:19:00,Cat,2 months,Domestic Shorthair Mix,Calico,0,0
Captain,2/21/2015 17:30:00,Dog,6 months,Cocker Spaniel Mix,Sable,1,1
Pablito,1/25/2014 18:34:00,Dog,8 years,Chihuahua Shorthair Mix,Tricolor,1,0
,11/12/2015 12:36:00,Dog,6 months,Labrador Retriever Mix,Buff,1,1
,8/14/2014 17:23:00,Cat,3 months,Siamese Mix,Seal Point,0,0
Kimchi,1/1/2014 18:45:00,Dog,1 year,Rottweiler/Labrador Retriever,Black/Tan,1,1
Bella,3/16/2015 17:38:00,Dog,1 year,Chihuahua Shorthair Mix,Brown/Black,1,1
Ares,5/19/2014 18:05:00,Dog,2 months,Boxer Mix,Tricolor,1,1
,5/16/2014 18:37:00,Cat,2 weeks,Domestic Shorthair Mix,Blue Tabby,0,0
,1/25/2014 18:09:00,Dog,2 years,Chihuahua Shorthair Mix,Tan,1,1
,9/8/2014 11:53:00,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,1,1
Sammy,9/2/2014 11:23:00,Cat,9 months,Domestic Shorthair Mix,White/Brown Tabby,1,0
,12/23/2014 14:58:00,Dog,4 years,Rat Terrier Mix,Black/White,1,0
Challino,11/12/2014 18:27:00,Dog,4 months,German Shepherd/Siberian Husky,Red/White,1,1
,7/6/2014 18:33:00,Cat,3 days,Domestic Shorthair Mix,White,0,0
Romeo,5/30/2015 15:30:00,Dog,6 years,Dachshund,Blue Merle/White,0,0
Dumpling,1/11/2014 17:42:00,Dog,2 months,Border Collie/Labrador Retriever,Black/White,1,1
,4/3/2014 15:19:00,Cat,8 months,Domestic Shorthair Mix,Blue Tabby,0,0
Carl,8/6/2014 14:23:00,Cat,1 month,Domestic Shorthair Mix,Black/White,0,0
,11/26/2013 14:55:00,Cat,4 months,Domestic Shorthair Mix,Black,0,0
Belle,7/31/2015 12:56:00,Cat,2 months,Domestic Shorthair Mix,Torbie,0,1
Lil' Mama,5/12/2014 14:05:00,Dog,2 years,Pit Bull Mix,Fawn,0,0
,4/4/2014 15:30:00,Dog,4 months,Collie Smooth/Labrador Retriever,Tricolor,1,1
,2/8/2016 19:23:00,Cat,1 year,Domestic Shorthair Mix,Brown Tabby,0,0
,7/16/2015 11:09:00,Cat,3 months,Siamese Mix,Lynx Point/White,1,1
,7/8/2014 14:48:00,Cat,2 months,Domestic Shorthair Mix,Black/White,0,0
Celeste,12/24/2015 10:12:00,Cat,4 months,Domestic Shorthair Mix,Orange Tabby/White,1,1
Jack,6/14/2015 12:01:00,Dog,5 years,Plott Hound/Rhod Ridgeback,Brown Brindle,1,1
Buffy,1/23/2014 14:06:00,Dog,2 years,Pit Bull Mix,Fawn/White,1,0
,7/31/2014 13:22:00,Cat,2 weeks,Domestic Shorthair Mix,Brown Tabby,0,0
Bizzy,11/18/2014 11:32:00,Cat,2 months,Domestic Shorthair Mix,Black,1,1
,11/15/2015 18:01:00,Dog,10 months,Chihuahua Shorthair Mix,Tan/White,1,1
,6/17/2014 13:27:00,Dog,2 years,Pointer/Labrador Retriever,Black/White,1,0
Molina,11/9/2015 17:02:00,Dog,10 months,Anatol Shepherd/Great Pyrenees,White,1,1
,7/25/2014 16:48:00,Cat,4 weeks,Domestic Shorthair Mix,Blue,0,0
Simon,6/8/2014 16:49:00,Dog,1 year,Anatol Shepherd,Fawn/Black,1,0
Sparkles,1/19/2015 17:53:00,Cat,7 months,Domestic Shorthair Mix,Brown Tabby/White,1,1
Laurel,2/13/2015 14:49:00,Dog,2 years,Pit Bull Mix,Brown/White,1,1
Mya,1/2/2015 16:50:00,Dog,7 years,Great Dane,Black/White,1,0
Firefly,7/22/2015 18:37:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,1,1
Sebastian,8/24/2015 18:23:00,Cat,12 years,Domestic Shorthair Mix,Black/White,1,0
Aimee,9/2/2014 14:51:00,Dog,3 years,Australian Cattle Dog Mix,Tricolor,0,0
Lily,12/19/2014 11:23:00,Cat,3 months,Domestic Shorthair Mix,Black/White,1,0
Lola,10/23/2015 18:07:00,Dog,2 years,Chinese Sharpei/Australian Cattle Dog,Red Tick/White,1,1
Sadie,4/22/2014 16:02:00,Dog,12 years,Labrador Retriever Mix,Yellow,0,0
Pi,3/16/2015 12:10:00,Dog,1 year,Flat Coat Retriever Mix,Black,1,1
,8/29/2014 16:56:00,Dog,3 years,Labrador Retriever Mix,Yellow,1,0
Qwayzar,5/25/2014 17:32:00,Cat,1 month,Domestic Shorthair Mix,Calico,1,1
,3/6/2015 9:54:00,Dog,6 days,Labrador Retriever Mix,White,0,0
Clover,11/22/2013 17:54:00,Dog,9 months,Rat Terrier Mix,Tricolor,1,0
Friskie,11/23/2014 18:23:00,Cat,2 months,Domestic Longhair Mix,Black/White,1,1
Spartacus,6/10/2015 17:23:00,Dog,2 years,Akita/Pit Bull,Tan/White,1,0
Leroy,12/28/2015 17:33:00,Dog,7 years,American Bulldog Mix,White,1,0
Severus,3/10/2014 16:24:00,Dog,4 months,Labrador Retriever Mix,Blue,1,0
Lennon,5/26/2015 15:52:00,Cat,10 years,Domestic Shorthair Mix,Orange Tabby,1,1
Jezebel,2/27/2014 16:04:00,Dog,5 years,Chihuahua Shorthair Mix,Tan,1,0
Lucy,3/1/2015 16:13:00,Dog,2 years,Pointer/Labrador Retriever,Chocolate/White,1,1
Cody,9/20/2014 15:37:00,Dog,5 years,Chihuahua Shorthair Mix,Tan/White,1,1
Nelson,10/15/2014 17:21:00,Cat,5 months,Siamese Mix,Flame Point,1,1
,4/1/2015 18:44:00,Cat,1 year,Domestic Shorthair Mix,Black/White,1,1
Nico,11/13/2015 12:59:00,Dog,1 year,Labrador Retriever,Buff/Tan,0,0
Watson,12/18/2014 13:35:00,Cat,4 months,Domestic Medium Hair Mix,Black,1,0
Daisy,2/13/2014 17:05:00,Dog,2 years,Chihuahua Shorthair/Rat Terrier,White/Tan,1,0
Oso,4/17/2014 17:09:00,Dog,3 years,Rottweiler Mix,Black/Tan,0,0
,4/24/2015 17:47:00,Cat,4 weeks,Domestic Shorthair,Blue,0,0
,5/19/2015 18:49:00,Cat,3 weeks,Domestic Shorthair Mix,Black/White,0,0
,6/17/2015 12:27:00,Cat,3 weeks,Domestic Shorthair Mix,Tortie,0,0
Lizzy,7/11/2015 13:49:00,Dog,2 years,Labrador Retriever,Black,1,0
Bobby,11/8/2015 19:10:00,Dog,1 year,Boxer Mix,Brown/White,1,1
,8/3/2014 17:47:00,Cat,2 weeks,Domestic Shorthair Mix,Blue Tabby,0,0
,10/10/2014 14:05:00,Dog,2 years,Jack Russell Terrier Mix,White/Tan,1,1
Blaze,10/26/2015 12:43:00,Dog,9 months,Pit Bull/Dogue De Bordeaux,Red/White,0,0
Roman,1/26/2014 15:19:00,Dog,3 years,Labrador Retriever/Chow Chow,Brown,1,1
Rasberry,6/26/2015 9:42:00,Cat,1 month,Domestic Shorthair Mix,Tortie,0,0
Tucker,2/8/2015 14:55:00,Dog,2 years,Bernese Mountain Dog/Rottweiler,Tricolor,1,1
,1/26/2016 19:01:00,Cat,2 years,Domestic Shorthair Mix,Brown Tabby,1,0
,7/4/2014 18:42:00,Dog,4 months,Plott Hound Mix,Brown Brindle/Red Tick,1,0
Houston,10/16/2015 17:24:00,Dog,3 years,English Bulldog,Brown Brindle,0,0
Captain,12/5/2014 17:10:00,Dog,1 year,Pit Bull Mix,Brown/White,1,0
Kerby,9/25/2014 18:48:00,Cat,1 month,Domestic Medium Hair Mix,Brown Tabby/White,0,0
Tulip,5/17/2014 13:44:00,Dog,1 year,Chihuahua Shorthair Mix,White/Brown,1,1
,1/7/2016 12:44:00,Dog,2 months,Labrador Retriever Mix,Black/Tan,1,0
Tiny Tinker,5/11/2015 18:38:00,Dog,9 years,Chihuahua Shorthair,Brown,1,0
Nigel,5/31/2015 18:53:00,Dog,2 years,Pit Bull Mix,Brown,1,1
Sadie,11/21/2015 11:17:00,Dog,6 months,Pointer Mix,White/Blue,1,1
,3/3/2015 13:14:00,Dog,3 months,Chihuahua Longhair/Italian Greyhound,Tricolor,1,1
Pippin,7/7/2014 16:52:00,Dog,1 month,Labrador Retriever/Blue Lacy,Chocolate/White,1,1
Calliope,11/24/2015 0:00:00,Dog,1 year,Yorkshire Terrier Mix,Black/Tan,0,0
Petra,5/16/2014 14:58:00,Dog,2 years,Pit Bull Mix,Blue/White,1,1
Judy,3/22/2014 16:23:00,Dog,3 years,Labrador Retriever Mix,Black/White,1,0
Cloud,10/10/2015 14:30:00,Cat,2 months,Siamese Mix,Lilac Point,0,1
Grace,3/9/2014 17:06:00,Dog,2 years,American Staffordshire Terrier Mix,Blue/White,1,0
Kief,10/24/2013 12:31:00,Dog,2 years,Dachshund/Catahoula,Brown Brindle/White,1,0
,8/25/2014 17:01:00,Dog,2 months,Dachshund Wirehair Mix,Brown/Black,1,1
Callie,7/14/2014 18:08:00,Cat,12 years,Domestic Longhair Mix,Tortie,1,0
,1/30/2014 13:14:00,Cat,2 years,Domestic Shorthair Mix,Blue,1,0
Asha,1/27/2015 14:06:00,Dog,8 months,Labrador Retriever Mix,Black,0,0
Eleonora,1/12/2016 9:30:00,Cat,10 years,Domestic Shorthair Mix,Brown Tabby/White,0,0
Oliver,7/7/2014 15:39:00,Cat,2 months,Domestic Medium Hair Mix,Orange Tabby,1,1
Shaka,6/7/2014 17:09:00,Dog,3 months,Chihuahua Shorthair Mix,Buff/White,1,1
Riku,12/18/2013 14:04:00,Dog,1 year,Blue Lacy/Pit Bull,Blue/White,1,0
,6/18/2014 9:00:00,Cat,2 years,Domestic Shorthair Mix,Tortie,0,0
Dennis,11/29/2015 19:00:00,Cat,2 months,Domestic Shorthair Mix,Blue Tabby,1,1
Nala,9/13/2014 18:35:00,Cat,3 months,Siamese Mix,Lilac Point,1,1
,3/25/2015 17:17:00,Dog,7 years,Miniature Poodle Mix,White,1,1
Pequina,3/7/2015 15:46:00,Dog,2 years,Dachshund Mix,Brown,1,1
Jax,10/15/2014 18:25:00,Dog,4 months,Boxer Mix,Brown Brindle/White,0,0
Tibbers,12/1/2015 17:24:00,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,1,1
Ranger,9/5/2015 12:46:00,Cat,3 months,Domestic Shorthair Mix,White/Orange Tabby,1,1
Nala,12/20/2013 12:38:00,Cat,2 years,Exotic Shorthair Mix,White/Orange Tabby,1,0
Marcia,12/8/2013 19:11:00,Cat,6 months,Domestic Shorthair Mix,Black/White,1,1
,4/8/2015 15:41:00,Cat,4 days,Domestic Shorthair Mix,Torbie,0,0
,7/12/2014 17:18:00,Cat,3 months,Domestic Shorthair Mix,Brown Tabby,1,1
Bella,11/11/2014 17:41:00,Cat,5 months,Siamese Mix,Tortie Point,1,1
Sammy,10/8/2015 13:53:00,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,1,0
Emma,9/24/2014 15:00:00,Cat,1 month,Domestic Shorthair Mix,Brown Tabby/White,0,0
July,11/10/2013 18:25:00,Dog,1 year,Pit Bull Mix,Black/White,1,0
,10/29/2013 11:28:00,Dog,1 month,Australian Cattle Dog Mix,Brown/Black,0,0
,11/17/2013 18:28:00,Dog,3 years,Chihuahua Shorthair Mix,Black/Tan,1,0
Mason,6/3/2014 11:47:00,Dog,3 years,Labrador Retriever/Chinese Sharpei,Black,1,1
Trousers,8/5/2014 16:09:00,Dog,6 years,Basset Hound,Tricolor,0,0
Cassius,7/26/2015 14:24:00,Dog,8 months,Pit Bull Mix,White/Blue,0,1
,9/17/2014 14:11:00,Cat,4 months,Domestic Shorthair Mix,Brown Tabby/White,1,1
Popcorn,3/11/2014 12:55:00,Dog,3 years,Cocker Spaniel Mix,Yellow,1,0
,12/13/2013 11:41:00,Dog,4 weeks,Chihuahua Shorthair Mix,Tricolor,0,0
Ellie,1/3/2016 17:08:00,Cat,2 months,Domestic Shorthair Mix,Torbie,1,0
,10/7/2015 8:47:00,Dog,2 months,Australian Cattle Dog Mix,Buff/White,0,0
Bino,9/8/2015 18:00:00,Dog,1 year,Dachshund/Chihuahua Shorthair,Black,0,0
Marley,11/24/2015 16:51:00,Dog,5 years,Cocker Spaniel Mix,Black,1,0
Lucy,12/26/2015 12:49:00,Dog,7 years,Blue Lacy/Collie Smooth,Tricolor,1,0
,6/29/2015 17:44:00,Cat,2 months,Domestic Longhair Mix,Blue,1,1
Zeus,11/11/2015 18:55:00,Dog,3 years,Pit Bull Mix,Black/White,1,0
,10/11/2014 17:05:00,Cat,1 month,Domestic Shorthair Mix,Torbie,0,1
Haelo,10/5/2015 17:41:00,Dog,6 years,Miniature Poodle Mix,Buff,1,1
Mary,4/3/2015 16:53:00,Dog,2 months,Labrador Retriever Mix,Chocolate/White,0,0
Dorchester,7/4/2015 8:56:00,Dog,2 years,Pit Bull Mix,White/Brown,1,0
,10/10/2015 17:53:00,Cat,2 weeks,Domestic Shorthair Mix,Orange Tabby/White,0,0
,1/16/2015 9:00:00,Cat,1 year,Domestic Shorthair Mix,Black/White,0,0
Leia,2/1/2015 12:29:00,Dog,2 years,Black/Tan Hound Mix,Black/Tan,1,0
Morris,7/13/2014 19:37:00,Cat,2 months,Domestic Shorthair Mix,Black,1,1
Arthur,10/19/2015 20:13:00,Cat,2 months,Domestic Shorthair Mix,Orange Tabby,1,1
,12/3/2013 18:11:00,Cat,8 years,Siamese Mix,Lynx Point,1,0
,12/3/2015 16:13:00,Dog,1 week,Labrador Retriever Mix,White,0,0
Squirt,7/15/2015 13:14:00,Dog,12 years,Chihuahua Shorthair Mix,White,1,0
Scarlet,3/25/2015 13:24:00,Dog,1 year,Pit Bull Mix,Chocolate/White,1,0
Maui,6/6/2015 16:26:00,Dog,11 years,Norfolk Terrier/Border Terrier,Cream,1,0
,9/8/2014 16:41:00,Cat,2 weeks,Domestic Shorthair Mix,Blue Tabby/White,0,0
Tyrone,4/10/2014 11:22:00,Dog,2 years,Border Collie Mix,Black/White,1,0
Sam,1/6/2015 16:54:00,Dog,2 years,German Shepherd Mix,Black/Tan,1,0
Chubs,11/5/2015 14:23:00,Dog,2 years,Chihuahua Shorthair Mix,Black,1,1
Chico,6/23/2015 11:08:00,Dog,3 years,Chihuahua Shorthair Mix,Brown,1,0
,6/30/2015 12:17:00,Cat,5 days,Domestic Shorthair Mix,Black,0,0
,5/17/2015 19:03:00,Cat,3 weeks,Domestic Shorthair Mix,White/Brown Tabby,0,0
,3/14/2014 17:56:00,Dog,10 months,Jack Russell Terrier Mix,Tricolor,1,1
Leia,1/20/2014 14:33:00,Cat,7 years,Domestic Shorthair Mix,Brown Tabby,1,0
Duke,7/4/2014 17:55:00,Dog,7 years,Pit Bull Mix,Red/White,1,0
Apollo,12/26/2015 15:48:00,Dog,3 years,Siberian Husky,Black/White,0,0
Lucy,11/4/2013 15:40:00,Dog,2 years,Scottish Terrier/Cairn Terrier,Black,1,0
,12/8/2015 19:24:00,Cat,2 years,Domestic Medium Hair Mix,Blue Tabby,1,0
Hilde,12/13/2015 14:06:00,Dog,1 year,Labrador Retriever Mix,Red,1,0
Hazel,12/13/2015 16:21:00,Cat,5 months,Domestic Shorthair Mix,Calico,1,1
,10/20/2014 9:00:00,Cat,8 months,Domestic Shorthair Mix,Black,0,0
Tucker,12/18/2014 14:29:00,Cat,3 months,Domestic Longhair Mix,Brown Tabby,0,1
Nugget,3/27/2015 14:39:00,Dog,1 year,Chihuahua Shorthair Mix,Tan,1,1
Tori,11/9/2013 17:03:00,Cat,4 months,Domestic Medium Hair Mix,Tortie/White,1,1
,2/12/2014 15:40:00,Cat,1 year,Domestic Shorthair Mix,Cream Tabby,0,0
Brisket,11/14/2014 16:24:00,Dog,1 year,Pit Bull Mix,Tan/White,1,0
Sleepy,8/21/2015 15:43:00,Cat,2 months,Domestic Shorthair Mix,Black,1,1
Shadow,12/1/2013 19:00:00,Dog,8 months,Labrador Retriever Mix,Black,1,1
,8/7/2015 9:00:00,Cat,1 year,Domestic Shorthair Mix,Calico,0,0
Chico,11/12/2015 18:52:00,Dog,5 years,Chihuahua Longhair Mix,Cream,1,0
,9/4/2015 17:57:00,Dog,4 weeks,Chihuahua Shorthair Mix,White,0,0
Lyla,6/2/2014 16:54:00,Dog,3 years,Labrador Retriever Mix,Yellow,1,0
Annie,11/5/2015 14:33:00,Dog,3 years,Pit Bull Mix,Black/White,1,1
Mew,1/26/2015 17:48:00,Dog,2 months,Border Collie Mix,Tricolor,1,1
Sven,6/24/2015 15:14:00,Dog,3 months,Pit Bull Mix,White/Brown,0,0
Molly,4/9/2015 15:36:00,Dog,10 years,Yorkshire Terrier Mix,Black/Tricolor,0,0
Cujo,1/26/2016 17:34:00,Dog,5 years,American Bulldog Mix,Tan,1,0
